group,target_names,anchor_names,layer,variant,alpha,target_rank,anchor_rank,residual_rank,target_feature_leakage,target_basis_leakage,anchor_feature_error,raw_frozen_s_distortion,normalized_frozen_s_distortion,f_minus_g_normalized_preservation,compensation_magnitude,compensation_orthogonality_residual,anchor_pointwise_fix_residual,anchor_residual_basis_orthogonality,gram_residual,projection_gram_match_residual,compensation_trace_error
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.0911258964284821e-28,2.4705935383075344e-28,2.2593480982969365e-28,824.15392649833939,0.0099964811794590065,0.021243822201050096,0.92636222098069121,2.570826457020512e-11,1.9659357216954275e-14,1.6697419588979145e-14,2.5592891416330213e-11,2.5592891416330213e-11,1.1641532182693481e-09
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.84799727714165585,0.97430996328054498,0.097847545510859404,6111.0827082656206,0.05900510976459683,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,2.74329122118405e-29,2.4257567961234453e-28,1.1333220863938748e-29,3000.4458873824233,0.028970584654053718,0.018927874650672222,0.92139794461600677,2.6176404950253813e-11,1.609375653676365e-14,1.1540196347535968e-14,2.6060540888903457e-11,2.6060540888903457e-11,1.4115357771515846e-09
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,2.8654137494767842e-29,2.4401539048264367e-28,4.5947118276640185e-29,1040.1104529868028,0.010042710003381495,0.018927874650672222,0.92139794461600677,2.6176404950253813e-11,1.609375653676365e-14,1.1540196347535968e-14,2.6060540888903457e-11,2.6060540888903457e-11,1.4115357771515846e-09
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.82248314606966944,0.97492353811060484,0.10083723986106341,5242.7932464152254,0.060583523685524429,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,3.7063176913971288e-29,1.7435867382199444e-28,1.6249831056561321e-29,2571.3230402242157,0.029713132482779733,0.019829735153147746,0.9221903032544746,2.5461629648530912e-11,1.1179382910866662e-14,9.2917019602032298e-15,2.535448750023438e-11,2.535448750023438e-11,8.8766682893037796e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,3.9128556183080688e-29,1.7637866776429826e-28,4.5142310965395041e-29,855.29209295255487,0.0098833973296319887,0.019829735153147746,0.9221903032544746,2.5461629648530912e-11,1.1179382910866662e-14,9.2917019602032298e-15,2.535448750023438e-11,2.535448750023438e-11,8.8766682893037796e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.72892377934156127,0.94232038821769359,0.12534201597730016,7719.4434077548594,0.089285303644701233,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,7.1343517198804774e-29,8.9451776890020165e-29,5.5524902894969128e-30,5272.9421287246323,0.060988365895805377,0.043788864864163654,0.28249301702181479,6.6938057872046256e-12,2.0023295660281986e-14,1.7792245688775802e-14,6.6310721286869249e-12,6.6310721286869249e-12,5.0931703299283981e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,7.2277781921071602e-29,9.0288588503677456e-29,1.4654117088609955e-29,1487.0372775313849,0.017199501031641719,0.043788864864163654,0.28249301702181479,6.6938057872046256e-12,2.0023295660281986e-14,1.7792245688775802e-14,6.6310721286869249e-12,6.6310721286869249e-12,5.0931703299283981e-10
