projection,layer_index,target_index,target_concept,official_mean,v1_mean,direct_mean,official_median,v1_median,direct_median,official_p95,v1_p95,direct_p95,official_max,v1_max,direct_max,official_contribution_frobenius,v1_contribution_frobenius,direct_contribution_frobenius,direct_to_official_contribution_ratio,direct_to_v1_contribution_ratio
to_v,1,4,orange,0.006025324077927508,0.08925576040601584,0.0010387191552778537,0.0060631935484707355,0.0003080140013480559,0.0005201423773542047,0.006063247565180063,0.7284139573574067,0.0040199313778430225,0.006063247565180063,0.9963352084159851,0.008179822005331516,114.91443152822437,2938.693598230048,22.891137917456575,0.19920159385580946,0.007789562658469644
to_v,1,5,lemon,0.007584996399236843,0.08195162371044944,0.0010087327554362479,0.007705377414822578,0.0002523190778447315,0.00039973045932129025,0.007705410942435265,0.6047276169061662,0.003798289236146957,0.007705410942435265,0.9997406005859375,0.011551196686923504,148.7356936996064,1234.9387086273562,13.900910137006958,0.09346048545066721,0.011256356319462953
to_v,1,6,yawl,0.005997847983962856,0.0794252311726666,0.0008393091303920853,0.006035549100488424,0.0004514593747444451,0.00046426143671851605,0.006035592872649431,0.6341229945421224,0.003047489817254247,0.006035592872649431,0.9982004165649414,0.007375058252364397,115.48533816285297,1364.9699314248196,10.405815848844743,0.09010508186044243,0.007623476246090392
to_v,1,7,lifeboat,0.007598215791222174,0.07941329027423763,0.0007662330340159271,0.007718841079622507,0.00026614536182023585,0.00028409206424839795,0.007718841079622507,0.7015699028968817,0.0033096591359935723,0.007718841079622507,0.9981880187988281,0.007662131916731596,146.02476529280392,1149.9536808774726,7.483292139870367,0.05124673287346241,0.0065074726611251315
to_v,1,8,soccer ball,0.008503307303180918,0.08727597846097979,0.0008754443031830685,0.008693492040038109,0.00029081018874421716,0.0004435793525772169,0.008693492040038109,0.6215596973896036,0.0029944611946120885,0.008693492040038109,0.9946742057800293,0.006420640740543604,165.00177922685583,1493.2127862439268,16.578128842186945,0.10047242472091279,0.011102321782207665
to_v,1,9,volleyball,0.008051965100457891,0.08089519092349065,0.000925469558742819,0.008205806836485863,0.0002579231950221583,0.00038848380791023374,0.008205842226743698,0.6519848078489306,0.0035531845525838446,0.008205842226743698,0.987857460975647,0.0067963083274662495,150.9916830250322,1143.8307075682496,12.071562079251093,0.07994852323918931,0.010553626510792736
to_v,2,0,golden retriever,0.0073479476217471525,0.04482283485353946,0.001141092960255807,0.007452733349055052,0.0006028097996022552,0.00042867510637734085,0.007452772464603186,0.21233072727918595,0.0037409650627523642,0.007452772464603186,0.9999971389770508,0.026227077469229698,228.2767327945938,19555.89687286014,346.8930124537118,1.5196161615202821,0.017738537624174794
to_v,2,1,labrador retriever,0.009790915658231824,0.03721862740690085,0.001088142053413506,0.010106735862791538,0.0007004247745499015,0.0003182498912792653,0.010106770321726799,0.20748822614550583,0.004089963692240416,0.010106770321726799,1.0,0.03544241189956665,306.75195542776737,16177.88169587782,299.64184308746877,0.9768212974212878,0.01852169824951919
to_v,2,2,tabby,0.00711685573332943,0.039123286996164096,0.0010579339020914415,0.007206927984952927,0.0006523728661704808,0.00033219580654986203,0.0072069596499204636,0.23135262951254829,0.003924898128025233,0.0072069596499204636,1.0,0.03262580558657646,222.10980641731874,14646.220844367945,235.74978851765263,1.0614109854956424,0.01609628797918255
to_v,2,3,tiger cat,0.008502564043737948,0.041589619931824015,0.001211272443283546,0.008692704141139984,0.0006085628701839596,0.00038717644929420203,0.008692733943462372,0.22554251924157026,0.004317988199181847,0.008692733943462372,0.9999990463256836,0.033049169927835464,265.4366916785026,16647.043201116943,297.37165953049316,1.1203110528919273,0.017863332000636657
