representation,space_type,layer_id,layer_index,layer_name,clustering_method,concept,recall
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.62
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.6
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.26
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.72
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.68
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.5
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.68
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.34
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.26
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.72
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.56
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.62
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.06
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.74
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.7
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.22
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.24
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.68
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.64
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.84
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.76
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.58
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.72
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.38
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.5
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.78
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.82
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.76
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.86
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.5
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.22
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.36
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.6
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.66
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.6
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.72
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.62
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.44
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.38
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.14
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.48
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.74
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.52
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.54
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.5
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.52
