space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,wolf,description,50,640,17.467439651489258,0.8605208396911621,15.203957557678223,19.28045082092285
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,rabbit,description,50,640,16.469831466674805,1.0662243366241455,14.211699485778809,19.4099063873291
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,deer,description,50,640,17.339738845825195,1.0632635354995728,15.01547622680664,20.85025978088379
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,horse,description,50,640,17.929224014282227,0.9736151099205017,16.205856323242188,20.720115661621094
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,cat,description,50,640,14.445527076721191,0.6146105527877808,13.203343391418457,16.22600746154785
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,dog,description,50,640,14.654936790466309,0.5315142869949341,13.535248756408691,16.035120010375977
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,fox,description,50,640,14.201594352722168,0.41971004009246826,13.347833633422852,15.241540908813477
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,bear,description,50,640,14.049901008605957,0.42115336656570435,13.137314796447754,15.025834083557129
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,wolf,description,50,640,14.303410530090332,0.45085808634757996,13.573850631713867,15.68400764465332
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,rabbit,description,50,640,14.53059196472168,0.45507892966270447,13.666757583618164,15.581013679504395
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,deer,description,50,640,14.622851371765137,0.6715454459190369,13.600367546081543,17.095243453979492
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,horse,description,50,640,14.600595474243164,0.5502464771270752,13.77898120880127,15.812349319458008
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,cat,name,1,640,17.94585418701172,0.0,17.94585418701172,17.94585418701172
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,dog,name,1,640,16.60398292541504,0.0,16.60398292541504,16.60398292541504
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,fox,name,1,640,16.195613861083984,0.0,16.195613861083984,16.195613861083984
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,bear,name,1,640,16.67098045349121,0.0,16.67098045349121,16.67098045349121
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,wolf,name,1,640,16.812652587890625,0.0,16.812652587890625,16.812652587890625
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,rabbit,name,1,640,17.646324157714844,0.0,17.646324157714844,17.646324157714844
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,deer,name,1,640,16.657270431518555,0.0,16.657270431518555,16.657270431518555
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,horse,name,1,640,18.174659729003906,0.0,18.174659729003906,18.174659729003906
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,cat,name,1,640,19.666790008544922,0.0,19.666790008544922,19.666790008544922
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,dog,name,1,640,20.32463264465332,0.0,20.32463264465332,20.32463264465332
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,fox,name,1,640,18.592872619628906,0.0,18.592872619628906,18.592872619628906
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,bear,name,1,640,16.758087158203125,0.0,16.758087158203125,16.758087158203125
