representation,space_type,layer_id,layer_index,layer_name,clustering_method,normalization,ari,nmi,matched_accuracy,silhouette,silhouette_metric,cluster_sizes,objective,inertia,iterations,converged,best_initialization,input_norm_min,input_norm_max,center_norm_min,center_norm_max,centers_normalized_during_fit,labels_available_to_fit
eot,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.4770818959603772,0.5819161857991896,0.7,0.04932292923331261,euclidean,"[30, 39, 69, 45, 48, 67, 50, 52]",,188.50103759765625,15,True,,0.9999999403953552,1.0,0.6928018269460497,0.7939490940808815,False,False
fixed_suffix,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6048583427613536,0.6846840391019898,0.7475,0.08634399622678757,cosine,"[54, 51, 59, 52, 41, 65, 18, 60]",373.7988913016205,,12,True,0.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.4995775837792171,0.5914864114421883,0.685,0.04732687398791313,euclidean,"[58, 51, 43, 63, 31, 51, 31, 72]",,64787.08984375,18,True,,32.50456237792969,38.693790435791016,32.790402964931594,34.59878550544803,False,False
fixed_suffix,W0,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6128249984918863,0.6636787442257881,0.79,0.05116923153400421,euclidean,"[54, 35, 54, 57, 55, 62, 47, 36]",,50.55570602416992,11,True,,0.9999999403953552,1.0,0.9299922919813174,0.9416210324534612,False,False
eot,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6082511969316362,0.6882156779825768,0.77,0.11412065476179123,cosine,"[59, 49, 54, 44, 48, 42, 46, 58]",303.51444364996075,,11,True,27.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6216521305404047,0.6972068961458975,0.7625,0.05620156228542328,euclidean,"[48, 52, 49, 46, 50, 67, 51, 37]",,141173.328125,18,True,,24.21351432800293,36.86594772338867,18.18448336785089,25.54623578170365,False,False
eot,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6340529765660479,0.7027780232726547,0.775,0.06097089871764183,euclidean,"[39, 68, 58, 54, 37, 50, 47, 47]",,169.05545043945312,14,True,,0.9999999403953552,1.0,0.6801674372743316,0.8021881124706219,False,False
fixed_suffix,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5805202753951264,0.6446899349012035,0.7675,0.09854599088430405,cosine,"[64, 61, 55, 64, 42, 48, 54, 12]",379.0684447223022,,15,True,37.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6096050253548806,0.6823316151590686,0.795,0.05316848307847977,euclidean,"[35, 79, 49, 49, 50, 60, 20, 58]",,31910.638671875,8,True,,25.728403091430664,31.164865493774414,25.68055000244954,27.526577735168075,False,False
fixed_suffix,W0,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5893620826400012,0.6629601836751059,0.785,0.05538412183523178,euclidean,"[19, 51, 59, 46, 37, 54, 52, 82]",,40.654212951660156,10,True,,0.9999999403953552,1.0,0.9420747119171347,0.9570305724727918,False,False
eot,W0,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5056145229515902,0.5942126521183231,0.7175,0.08490026742219925,cosine,"[55, 54, 57, 28, 65, 34, 74, 33]",303.813045858037,,12,True,29.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5216004465620702,0.5914615073988223,0.715,0.04204755648970604,euclidean,"[57, 44, 44, 39, 47, 78, 47, 44]",,100497.171875,22,True,,20.89382553100586,28.12679672241211,17.511687216029486,19.578927207133315,False,False
eot,W0,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.47339624909714656,0.5648905939052182,0.7,0.04376278445124626,euclidean,"[68, 62, 40, 58, 48, 39, 29, 56]",,169.28953552246094,21,True,,0.9999999403953552,1.0,0.7295246971598477,0.787178622625456,False,False
fixed_suffix,W0,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.40026656853080317,0.5104895914503598,0.6725,0.08463792502880096,cosine,"[48, 55, 50, 42, 97, 24, 35, 49]",377.7587748433591,,15,True,25.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
