pair,order,variant,stage,class,number_of_generated_samples,accuracy,seed_set_identifier,checkpoint_identifier
automobile|bird,bird->automobile,retain_previous_second,2,ship,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
automobile|bird,bird->automobile,retain_previous_second,2,truck,200,1.0,cifar10_fixed_42_241,c160ee19b428fc8cf5a3a5483e24a84362d2490b345c4caacf85f1082ac7f40a
deer|dog,deer->dog,stage1,1,airplane,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,automobile,200,0.99,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,bird,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,cat,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,deer,200,0.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,dog,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,frog,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,horse,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,ship,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,stage1,1,truck,200,1.0,cifar10_fixed_42_241,c0352bfa8b9c6598ffe086508df49f9d99e0de44dd1df9c5e25bd32d0b22c26f
deer|dog,deer->dog,baseline_second,2,airplane,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,automobile,200,0.995,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,bird,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,cat,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,deer,200,0.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,dog,200,0.005,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,frog,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,horse,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,ship,200,1.0,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,baseline_second,2,truck,200,0.995,cifar10_fixed_42_241,0b54ca3f5b6da09f0cc2f535c6e246fa5a8ba3925d7519246a8c83f1828de8c3
deer|dog,deer->dog,retain_previous_second,2,airplane,200,1.0,cifar10_fixed_42_241,0ae27140bb397f9e5ca3aa5a3398eaacca98d9ac2ddd5444639e7efb584ccea6
deer|dog,deer->dog,retain_previous_second,2,automobile,200,1.0,cifar10_fixed_42_241,0ae27140bb397f9e5ca3aa5a3398eaacca98d9ac2ddd5444639e7efb584ccea6
deer|dog,deer->dog,retain_previous_second,2,bird,200,1.0,cifar10_fixed_42_241,0ae27140bb397f9e5ca3aa5a3398eaacca98d9ac2ddd5444639e7efb584ccea6
deer|dog,deer->dog,retain_previous_second,2,cat,200,1.0,cifar10_fixed_42_241,0ae27140bb397f9e5ca3aa5a3398eaacca98d9ac2ddd5444639e7efb584ccea6
