layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,nearest_centroid_concept,own_centroid_rank,own_centroid_cosine_distance,nearest_other_centroid_cosine_distance,margin,within_cluster_typicality_percentile,rank1_own_centroid,cross_readout
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,horse,1,0.6359534308017429,0.6874207915086493,0.051467360706906384,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,cat,1,0.26436944312692634,0.29974964665982473,0.03538020353289839,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,dog,1,0.23968196584689616,0.26595027284853323,0.02626830700163707,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,cat,2,0.35635901549874394,0.34435841830596126,-0.01200059719278268,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,bear,bear,1,0.33092633718129383,0.34642753767473944,0.01550120049344561,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,wolf,wolf,1,0.3233059868455437,0.3522409268457485,0.0289349400002048,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,rabbit,cat,6,0.3580084430337027,0.33173738981399903,-0.02627105321970369,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,deer,deer,1,0.24530669917129755,0.2730755920866711,0.027768892915373544,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,horse,horse,1,0.23232973699599568,0.2840080509299471,0.05167831393395139,98.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,cat,cat,1,0.20060129247332403,0.20398405475180414,0.0033827622784801115,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,dog,dog,1,0.19712252395180663,0.21383794075880813,0.016715416807001504,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,fox,dog,4,0.2005374862666901,0.19234829499183148,-0.00818919127485862,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,bear,dog,2,0.21878879569149312,0.2118898688322366,-0.006898926859256527,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,wolf,dog,2,0.19173788298114236,0.18957124107902712,-0.0021666419021152405,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,rabbit,dog,2,0.18351469635434692,0.1828049753558777,-0.000709720998469221,100.0,False,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,deer,dog,6,0.1973605496580485,0.1862910335792316,-0.011069516078816899,100.0,False,False
