layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,rabbit,0.9564768274887216,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,deer,0.9583876565739335,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,horse,0.8891575726661662,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,cat,0.9347221692423624,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,dog,0.9762125061739906,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,fox,0.9453214282697403,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,bear,0.9818633215279708,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,wolf,0.9648052816172827,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,rabbit,0.9790184148128689,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,deer,0.9902912274441701,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,horse,1.0017139083786675,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,cat,0.9359707458949463,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,dog,0.9291959537157033,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,fox,0.93961130071357,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,bear,0.8637457086715817,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,wolf,0.914372321526922,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,rabbit,0.9402865912103371,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,deer,0.8994305637555212,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,horse,0.9500817228830712,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,cat,0.8935635548267113,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,dog,0.9101333104405407,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,fox,0.896158004157933,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,bear,0.9187778418912765,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,wolf,0.7894486819727392,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,rabbit,0.9351768762114847,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,deer,0.9091340183469079,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,horse,0.9276599950288807,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,cat,0.9375108456592997,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,dog,0.9655134515089028,False,True
