group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_frozen_s_preservation_loss,normalized_frozen_s_preservation_distortion,frozen_s_delta_vs_variant_c,frozen_s_ratio_vs_variant_c,anchor_feature_drift,anchor_delta_vs_variant_c,anchor_ratio_vs_variant_c,anchor_delta_vs_variant_d,orthogonality_residual,exact_mapping_residual,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95158732053193662,0.95158732053232864,2459.4385380297576,0.11955509345471453,0,1,0.1657843210303456,0,1,-0.64262213052606665,6.8069976231597758e-12,,1.0000000000809237
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.9756727111942464e-29,2.0838544585680198e-29,1156.9310232853877,0.05623925724134908,-0.063315836213365451,0.47040452745454603,0.80840645155641222,0.64262213052606665,4.8762539577457353,0,6.5044950370929471e-12,1.5642356905769043e-14,-1.0000000000772282
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,2.0008253954604933e-29,2.1127802265655867e-29,36233.116845287703,1.7613181234706465,1.641763030015932,14.732271729918427,0.65113666540083581,0.48535234437049024,3.9276130659041639,-0.15726978615557641,6.2957985736712005e-12,1.5762261115061018e-14,1.0000000000750118
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93590940773918518,0.93590940773962783,1878.3258553626131,0.12218553836898575,0,1,0.14494388920518092,0,1,-0.53921091319247094,6.8698779732480826e-12,,1.0000000000819804
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,3.2475746049409348e-29,3.3572987361769597e-29,748.756391627413,0.048706779261446558,-0.073478759107539204,0.39862965709049702,0.68415480239765192,0.53921091319247094,4.7201355376160095,0,6.3901180715201242e-12,9.2436880314692587e-15,-1.0000000000760521
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,3.2774709214693015e-29,3.3824703408967662e-29,24742.56473263252,1.6095096512966622,1.4873241129276764,13.172668981791732,0.5968545339114586,0.45191064470627768,4.1178316463314859,-0.087300268486193322,6.2061022121677517e-12,9.4474306366280918e-15,1.000000000073942
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.97459255414816537,0.97459255414900026,3542.685014955945,0.068895008755463893,0,1,0.13425547947983507,0,1,-0.97446585982612077,2.4373601891423508e-11,,-1.0000000004173335
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.1448704199859244e-29,1.21005293414646e-29,2078.3925296881298,0.04041874197837346,-0.028476266777090434,0.58667155587186059,1.1087213393059558,0.97446585982612077,8.2582948837666166,0,2.4947131832884255e-11,1.5604960604918795e-14,1.0000000004287461
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.1528427392850686e-29,1.2080834683939364e-29,99743.828650070151,1.9397298713093545,1.8708348625538906,28.154867912046232,0.97970255844859711,0.84544707896876203,7.2973003578282007,-0.12901878085735874,2.1715067859918055e-11,1.5598741123485254e-14,-1.000000000377993
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.97332926173204937,0.97332926173277923,3465.2348355836239,0.064846788376611106,0,1,0.13458974373498109,0,1,-0.90301681543224788,2.3926732172722697e-11,,-1.0000000004081
